,Location,Population,% of world,Date,Source (official or from the United Nations)
103,Hong Kong (China),7498100,,30 Jun 2023,National estimate[106]
104,Laos,7443000,,1 Jul 2022,National annual projection[107]
105,Kyrgyzstan,7100000,,1 Mar 2023,Monthly national estimate[108]
106,Turkmenistan,7057841,,17 Dec 2022,2022 census result[109]
107,Libya,6931061,,1 Jan 2020,Official estimate[110]
108,El Salvador,6884888,,1 Jul 2022,National annual projection[111]
109,Nicaragua,6733763,,30 Jun 2022,Official estimate[112]
110,Serbia,6641197,,1 Jan 2023,Official estimate[113]
111,Bulgaria,6447710,,31 Dec 2022,Official annual estimate[114]
112,Republic of the Congo,6142180,,17 May 2023,2023 census result[115]
113,Paraguay,6109644,,10 Nov 2022,Preliminary census result[116]
114,Denmark,5961249,,1 Jan 2024,National quarterly estimate[117]
115,Singapore,5917600,,30 Jun 2023,Official estimate[118]
116,Central African Republic,5633412,,1 Jul 2020,National annual projection[119]
117,Finland,5574011,,31 Dec 2023,Monthly national estimate[120]
118,Norway,5550203,,31 Dec 2023,National quarterly estimate[121]
119,Lebanon,5490000,,1 Jul 2021,Official estimate[122]
120,Palestine,5483450,,1 Jan 2023,National annual projection[123]
121,Slovakia,5426468,,30 Sep 2023,National quarterly estimate[124]
122,Ireland,5281600,,1 Apr 2023,National estimate[125]
123,New Zealand,5305600,,31 Dec 2023,National quarterly estimate[126]
124,Costa Rica,5262225,,30 Jun 2023,National annual projection[127]
125,Liberia,5248621,,10 Nov 2022,2022 census result[128]
126,Oman,5113071,,31 Aug 2023,Monthly national estimate[129]
127,Kuwait,4670713,,31 Dec 2020,Official estimate[130]
128,Mauritania,4475683,,1 Jul 2023,National annual projection[131]
129,Panama,4064780,,8 Jan 2023,2023 census result[132]
130,Croatia,3855641,,1 Jul 2022,Official estimate[133]
131,Eritrea,3748902,,1 Jul 2023,UN projection[3]
132,Georgia,3736400,,1 Jan 2023,Official estimate[134]
133,Mongolia,3457548,,31 Dec 2022,National annual projection[135]
134,Uruguay,3444263,,27 Nov 2023,2023 National census[136]
135,Bosnia and Herzegovina,3277082,,1 Jul 2022,Official estimate[137][138]
136,Puerto Rico (US),3205691,,1 Jul 2023,Annual projection[139]
137,Armenia,2981200,,1 Jan 2023,National quarterly estimate[140]
138,Lithuania,2886515,,1 Jan 2024,Monthly national estimate[141]
139,Jamaica,2825544,,1 Jul 2019,National projection[142]
140,Albania,2761785,,1 Jan 2023,Official estimate[143]
141,Qatar,2656032,,30 Jun 2023,Monthly national estimate[144]
142,Namibia,2641857,,1 Jul 2023,National annual projection[145]
143,Moldova,2512758,,1 Jan 2023,Official estimate[146]
144,Gambia,2417471,,1 Jul 2022,National projection[147]
145,Botswana,2410338,,1 Jul 2021,National annual projection[148]
146,Lesotho,2306000,,1 Jul 2023,Official projection[149]
147,Gabon,2233272,,1 Jul 2021,National annual projection[150]
148,Slovenia,2123103,,1 Oct 2023,National quarterly estimate[151]
149,Latvia,1872500,,1 Jan 2024,Monthly national estimate[152]
150,North Macedonia,1832696,,1 Nov 2021,2021 census result[153]
151,Guinea-Bissau,1781308,,1 Jul 2023,National annual projection[154]
152,Kosovo,1762220,,31 Dec 2022,Official estimate[155]
153,Bahrain,1577059,,1 Jul 2023,Official estimate[156]
154,Equatorial Guinea,1558160,,1 Jul 2022,Official estimate[157]
155,Trinidad and Tobago,1367510,,30 Jun 2023,Official estimate[158]
156,Estonia,1366491,,1 Jan 2024,Official estimate[159]
157,East Timor,1354662,,1 Jul 2023,National annual projection[160]
158,Mauritius,1261041,,30 Jun 2023,National estimate[161]
159,Eswatini,1223362,,1 Jul 2023,Official projection[162]
160,Djibouti,1001454,,1 Jul 2022,National projection [163]
161,Cyprus,918100,,1 Oct 2021,2021 census result[164]
162,Fiji,893468,,1 Jul 2021,National annual projection[165]
163,Bhutan,770276,,2023,National annual projection[166]
164,Comoros,758316,,15 Dec 2017,2017 census result[167]
165,Guyana,743699,,1 Jul 2019,Official estimate[168]
166,Solomon Islands,734887,,1 Jul 2023,National annual projection[169]
167,Macau (China),681300,,30 Sep 2023,National quarterly estimate[170]
168,Luxembourg,660809,,1 Jan 2023,Official estimate[171]
169,Montenegro,616695,,1 Jan 2023,National annual estimate[172]
170,Suriname,616500,,1 Jul 2021,Official estimate[173]
171,[disputed – discuss] Western Sahara,587259,,1 Jul 2023,UN projection[3]
172,Malta,519562,,21 Nov 2021,2021 census result[175]
173,Maldives,515132,,13 Sep 2022,2022 census result[176]
174,Cape Verde,491233,,16 Jun 2021,2021 census result[177]
175,Brunei,445400,,1 Jul 2022,Official estimate[178]
176,Belize,441471,,1 Jul 2022,Official estimate[179]
177,Bahamas,397360,,1 Jul 2022,[180]
178,Iceland,396960,,1 Oct 2023,National quarterly estimate[181]
179,Northern Cyprus,382836,,31 Dec 2020,Official estimate[182]
180,Transnistria,360938,,31 Dec 2022,Official estimate[183]
181,Vanuatu,301295,,1 Jul 2021,National annual projection[184]
182,French Polynesia (France),279890,,1 Jul 2021,National annual projection[184]
183,New Caledonia (France),268510,,1 Jan 2023,National annual projection[185]
184,Barbados,267800,,31 Dec 2022,[186]
185,Abkhazia,244236,,1 Jan 2022,Official estimate[187]
186,São Tomé and Príncipe,214610,,1 Jul 2021,National annual projection[188]
187,Samoa,205557,,6 Nov 2021,Census 2021[189]
188,Saint Lucia,178696,,1 Jul 2018,Official estimate[190]
189,Guam (US),153836,,1 Apr 2020,2020 census result[191]
190,Curacao (Netherlands),148925,,1 Jan 2023,Official estimate[192]
191,Kiribati,120740,,1 Jul 2021,National annual projection[184]
192,Grenada,112579,,1 Jul 2019,Official estimate[193]
193,Saint Vincent and the Grenadines,110872,,1 Jul 2022,Official estimate[194]
194,Aruba (Netherlands),106739,,30 Sep 2022,National quarterly estimate[195]
195,Micronesia,105754,,1 Jul 2021,National annual projection[184]
196,Jersey (UK),103267,,21 Mar 2021,2021 census result[196]
197,Antigua and Barbuda,100772,,1 Jan 2022,National annual estimate[197]
198,Seychelles,100447,,22 Apr 2022,2022 Census[198]
199,Tonga,100179,,1 Jan 2022,National annual estimate[199]
200,U.S. Virgin Islands (US),87146,,1 Apr 2020,2020 census result[200]
201,Andorra,85101,,31 Dec 2023,Official estimate[201]
202,Isle of Man (UK),84069,,30 May 2021,2021 census result[202]
203,Cayman Islands (UK),71105,,30 Sep 2020,2021 Census[203]
204,Dominica,67408,,31 Dec 2017,Official estimate[204]
205,Guernsey (UK),64091,,31 Mar 2023,National quarterly estimate[205]
206,Bermuda (UK),64055,,1 Jul 2021,National annual projection[206]
207,Greenland (Denmark),56865,,1 Jul 2023,National quarterly estimate[207]
208,South Ossetia,56520,,31 Dec 2021,Official estimate[208]
209,Faroe Islands (Denmark),54547,,1 Dec 2023,Monthly national estimate[209]
210,American Samoa (US),49710,,1 Apr 2020,2020 census result[210]
211,Northern Mariana Islands (US),47329,,1 Apr 2020,2020 census result[211]
212,Saint Kitts and Nevis,47195,,15 May 2011,2011 census result[212]
213,Turks and Caicos Islands (UK),46131,,1 Jul 2021,Official estimate[213]
214,Sint Maarten (Netherlands),42938,,1 Jan 2023,Official estimate[214]
215,Marshall Islands,42418,,30 Sep 2021,2021 Census[215]
216,Liechtenstein,39724,,30 Jun 2023,National estimate[216]
217,Monaco,39050,,31 Dec 2022,Official estimate[217]
218,Gibraltar (UK),34003,,1 Jul 2016,Official figure[218]
219,San Marino,33889,,31 Oct 2023,Monthly national estimate[219]
220,Saint Martin (France),32358,,1 Jan 2020,Official estimate[220]
221,British Virgin Islands (UK),31538,,1 Jul 2023,UN projection[3]
222,Åland (Finland),30547,,31 Dec 2023,Monthly national estimate[120]
223,Palau,16733,,1 Jul 2021,2021 Census[221]
224,Anguilla (UK),15701,,31 Dec 2021,Official estimate[222]
225,Cook Islands,15040,,1 Jul 2021,2021 Census[223]
226,Nauru,11680,,30 Oct 2021,2021 Census[224]
227,Wallis and Futuna (France),11369,,1 Jan 2021,National annual projection[184]
228,Tuvalu,10679,,1 Jul 2021,National annual projection[184]
229,Saint Barthélemy (France),10585,,1 Jan 2020,Official estimate[220]
230,Saint Pierre and Miquelon (France),6092,,1 Jan 2020,Official estimate[220]
231,"Saint Helena, Ascension and Tristan da Cunha (UK)",5651,,1 Jul 2021,2021 Census[225][226][227]
232,Montserrat (UK),4433,,1 Jul 2022,Official figure[228]
233,Falkland Islands (UK),3662,,10 Oct 2021,2021 census result[229]
234,Norfolk Island (Australia),2188,,1 Jan 2021,2021 Census[230]
235,Christmas Island (Australia),1692,,1 Jan 2021,2021 Census [231]
236,Niue,1689,,11 Nov 2022,2022 Census [232]
237,Tokelau (NZ),1647,,1 Jan 2019,2019 Census [233]
238,Vatican City,764,,26 Jun 2023,Official figure[234]
239,Cocos (Keeling) Islands (Australia),593,,30 Jun 2020,2021 Census[235]
240,Pitcairn Islands (UK),47,,1 Jul 2021,Official estimate[236]
